-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,-1,-1,-1,
-1,-1,-1,-1,-1,-1,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,
-1,-1,-1,-1,-1,-1,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,0,0,
-1,-1,-1,-1,-1,-1,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,-1,-1,
-1,-1,-1,-1,-1,-1,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,-1,-1,-1,
-1,-1,-1,-1,-1,-1,1,3,3,8,3,3,3,8,8,8,8,8,8,3,3,3,3,3,3,3,1,0,-1,-1,
-1,-1,-1,-1,-1,-1,1,3,8,7,8,8,7,7,7,7,7,7,7,8,3,3,3,3,3,3,1,0,0,-1,
-1,-1,-1,-1,-1,-1,1,3,7,7,7,7,7,7,7,7,7,7,7,8,3,3,3,3,3,3,3,1,0,0,
-1,-1,-1,-1,-1,-1,0,8,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,1,1,0,0,
-1,-1,-1,-1,-1,-1,0,8,8,7,7,7,7,7,8,7,7,7,7,7,3,3,3,3,3,3,1,0,0,0,
-1,-1,-1,-1,-1,-1,0,4,4,8,7,7,7,8,4,8,7,7,7,7,3,3,7,3,3,1,1,0,0,-1,
-1,-1,-1,-1,-1,-1,-1,0,4,8,7,7,7,8,4,8,7,7,7,7,8,8,7,8,1,0,0,0,-1,-1,
-1,-1,-1,-1,-1,-1,-1,0,8,7,7,7,7,7,8,7,7,7,7,7,8,7,7,8,0,0,0,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,1,1,0,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,8,0,0,0,0,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,0,4,8,7,7,7,7,7,7,7,7,8,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,0,0,6,8,8,8,8,8,6,6,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,6,6,6,6,6,6,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,6,6,6,6,6,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
8,7,7,7,7,-1,-1,-1,-1,-1,-1,0,6,6,6,6,6,8,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,7,7,7,7,7,-1,-1,-1,6,-1,0,8,7,8,6,6,8,7,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,8,8,7,7,7,7,-1,6,6,0,0,7,7,7,7,7,7,8,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,8,7,7,7,7,6,6,4,6,7,7,7,7,7,7,6,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,8,8,7,6,6,0,6,6,7,7,7,7,7,6,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,6,6,6,6,6,8,8,7,7,8,6,6,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,6,6,6,6,6,6,8,6,6,8,8,6,6,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,6,6,-1,0,6,6,8,6,6,6,6,6,6,6,6,6,4,6,6,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,7,6,7,15,15,8,6,4,6,6,6,6,6,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,0,8,7,6,4,6,15,15,7,7,6,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,0,0,4,4,4,6,6,7,15,7,7,7,8,0,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,6,4,4,4,8,4,6,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,6,0,6,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,6,0,4,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,6,0,0,6,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,6,6,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
